param n = 64;
param costBound = 15574;
param value := 
[0] 197
[1] 101
[2] 219
[3] 996
[4] 287
[5] 467
[6] 1097
[7] 790
[8] 122
[9] 713
[10] 447
[11] 974
[12] 622
[13] 222
[14] 830
[15] 586
[16] 805
[17] 923
[18] 332
[19] 563
[20] 654
[21] 689
[22] 775
[23] 425
[24] 1070
[25] 1100
[26] 507
[27] 876
[28] 376
[29] 223
[30] 431
[31] 456
[32] 461
[33] 405
[34] 898
[35] 147
[36] 527
[37] 745
[38] 539
[39] 239
[40] 191
[41] 347
[42] 750
[43] 311
[44] 110
[45] 200
[46] 938
[47] 727
[48] 825
[49] 860
[50] 943
[51] 876
[52] 237
[53] 575
[54] 1077
[55] 1037
[56] 818
[57] 201
[58] 199
[59] 381
[60] 709
[61] 851
[62] 919
[63] 630
;

param cost := 
[0] 97
[1] 1
[2] 119
[3] 896
[4] 187
[5] 367
[6] 997
[7] 690
[8] 22
[9] 613
[10] 347
[11] 874
[12] 522
[13] 122
[14] 730
[15] 486
[16] 705
[17] 823
[18] 232
[19] 463
[20] 554
[21] 589
[22] 675
[23] 325
[24] 970
[25] 1000
[26] 407
[27] 776
[28] 276
[29] 123
[30] 331
[31] 356
[32] 361
[33] 305
[34] 798
[35] 47
[36] 427
[37] 645
[38] 439
[39] 139
[40] 91
[41] 247
[42] 650
[43] 211
[44] 10
[45] 100
[46] 838
[47] 627
[48] 725
[49] 760
[50] 843
[51] 776
[52] 137
[53] 475
[54] 977
[55] 937
[56] 718
[57] 101
[58] 99
[59] 281
[60] 609
[61] 751
[62] 819
[63] 530
;
