param numColors := 5;
param numNodes := 48;

set edgeList := 
(0,1)
(1,0)
(1,2)
(1,4)
(1,7)
(1,9)
(1,13)
(1,15)
(1,18)
(1,20)
(1,25)
(1,27)
(1,30)
(1,32)
(1,36)
(1,38)
(1,41)
(1,43)
(2,1)
(2,3)
(2,6)
(2,8)
(2,12)
(2,14)
(2,17)
(2,19)
(2,24)
(2,26)
(2,29)
(2,31)
(2,35)
(2,37)
(2,40)
(2,42)
(3,2)
(3,5)
(3,7)
(3,10)
(3,13)
(3,16)
(3,18)
(3,21)
(3,25)
(3,28)
(3,30)
(3,33)
(3,36)
(3,39)
(3,41)
(3,44)
(4,1)
(4,5)
(4,6)
(4,10)
(4,12)
(4,16)
(4,17)
(4,21)
(4,24)
(4,28)
(4,29)
(4,33)
(4,35)
(4,39)
(4,40)
(4,44)
(5,3)
(5,4)
(5,8)
(5,9)
(5,14)
(5,15)
(5,19)
(5,20)
(5,26)
(5,27)
(5,31)
(5,32)
(5,37)
(5,38)
(5,42)
(5,43)
(6,2)
(6,4)
(6,11)
(6,13)
(6,15)
(6,22)
(6,25)
(6,27)
(6,34)
(6,36)
(6,38)
(6,45)
(7,1)
(7,3)
(7,11)
(7,12)
(7,14)
(7,22)
(7,24)
(7,26)
(7,34)
(7,35)
(7,37)
(7,45)
(8,2)
(8,5)
(8,11)
(8,13)
(8,16)
(8,22)
(8,25)
(8,28)
(8,34)
(8,36)
(8,39)
(8,45)
(9,1)
(9,5)
(9,11)
(9,12)
(9,16)
(9,22)
(9,24)
(9,28)
(9,34)
(9,35)
(9,39)
(9,45)
(10,3)
(10,4)
(10,11)
(10,14)
(10,15)
(10,22)
(10,26)
(10,27)
(10,34)
(10,37)
(10,38)
(10,45)
(11,6)
(11,7)
(11,8)
(11,9)
(11,10)
(11,17)
(11,18)
(11,19)
(11,20)
(11,21)
(11,29)
(11,30)
(11,31)
(11,32)
(11,33)
(11,40)
(11,41)
(11,42)
(11,43)
(11,44)
(12,2)
(12,4)
(12,7)
(12,9)
(12,23)
(12,25)
(12,27)
(12,30)
(12,32)
(12,46)
(13,1)
(13,3)
(13,6)
(13,8)
(13,23)
(13,24)
(13,26)
(13,29)
(13,31)
(13,46)
(14,2)
(14,5)
(14,7)
(14,10)
(14,23)
(14,25)
(14,28)
(14,30)
(14,33)
(14,46)
(15,1)
(15,5)
(15,6)
(15,10)
(15,23)
(15,24)
(15,28)
(15,29)
(15,33)
(15,46)
(16,3)
(16,4)
(16,8)
(16,9)
(16,23)
(16,26)
(16,27)
(16,31)
(16,32)
(16,46)
(17,2)
(17,4)
(17,11)
(17,23)
(17,25)
(17,27)
(17,34)
(17,46)
(18,1)
(18,3)
(18,11)
(18,23)
(18,24)
(18,26)
(18,34)
(18,46)
(19,2)
(19,5)
(19,11)
(19,23)
(19,25)
(19,28)
(19,34)
(19,46)
(20,1)
(20,5)
(20,11)
(20,23)
(20,24)
(20,28)
(20,34)
(20,46)
(21,3)
(21,4)
(21,11)
(21,23)
(21,26)
(21,27)
(21,34)
(21,46)
(22,6)
(22,7)
(22,8)
(22,9)
(22,10)
(22,23)
(22,29)
(22,30)
(22,31)
(22,32)
(22,33)
(22,46)
(23,12)
(23,13)
(23,14)
(23,15)
(23,16)
(23,17)
(23,18)
(23,19)
(23,20)
(23,21)
(23,22)
(23,35)
(23,36)
(23,37)
(23,38)
(23,39)
(23,40)
(23,41)
(23,42)
(23,43)
(23,44)
(23,45)
(24,2)
(24,4)
(24,7)
(24,9)
(24,13)
(24,15)
(24,18)
(24,20)
(24,47)
(25,1)
(25,3)
(25,6)
(25,8)
(25,12)
(25,14)
(25,17)
(25,19)
(25,47)
(26,2)
(26,5)
(26,7)
(26,10)
(26,13)
(26,16)
(26,18)
(26,21)
(26,47)
(27,1)
(27,5)
(27,6)
(27,10)
(27,12)
(27,16)
(27,17)
(27,21)
(27,47)
(28,3)
(28,4)
(28,8)
(28,9)
(28,14)
(28,15)
(28,19)
(28,20)
(28,47)
(29,2)
(29,4)
(29,11)
(29,13)
(29,15)
(29,22)
(29,47)
(30,1)
(30,3)
(30,11)
(30,12)
(30,14)
(30,22)
(30,47)
(31,2)
(31,5)
(31,11)
(31,13)
(31,16)
(31,22)
(31,47)
(32,1)
(32,5)
(32,11)
(32,12)
(32,16)
(32,22)
(32,47)
(33,3)
(33,4)
(33,11)
(33,14)
(33,15)
(33,22)
(33,47)
(34,6)
(34,7)
(34,8)
(34,9)
(34,10)
(34,17)
(34,18)
(34,19)
(34,20)
(34,21)
(34,47)
(35,2)
(35,4)
(35,7)
(35,9)
(35,23)
(35,47)
(36,1)
(36,3)
(36,6)
(36,8)
(36,23)
(36,47)
(37,2)
(37,5)
(37,7)
(37,10)
(37,23)
(37,47)
(38,1)
(38,5)
(38,6)
(38,10)
(38,23)
(38,47)
(39,3)
(39,4)
(39,8)
(39,9)
(39,23)
(39,47)
(40,2)
(40,4)
(40,11)
(40,23)
(40,47)
(41,1)
(41,3)
(41,11)
(41,23)
(41,47)
(42,2)
(42,5)
(42,11)
(42,23)
(42,47)
(43,1)
(43,5)
(43,11)
(43,23)
(43,47)
(44,3)
(44,4)
(44,11)
(44,23)
(44,47)
(45,6)
(45,7)
(45,8)
(45,9)
(45,10)
(45,23)
(45,47)
(46,12)
(46,13)
(46,14)
(46,15)
(46,16)
(46,17)
(46,18)
(46,19)
(46,20)
(46,21)
(46,22)
(46,47)
(47,24)
(47,25)
(47,26)
(47,27)
(47,28)
(47,29)
(47,30)
(47,31)
(47,32)
(47,33)
(47,34)
(47,35)
(47,36)
(47,37)
(47,38)
(47,39)
(47,40)
(47,41)
(47,42)
(47,43)
(47,44)
(47,45)
(47,46)
;

