param n = 32;
param costBound = 7969;
param value := 
[0] 461
[1] 101
[2] 219
[3] 996
[4] 287
[5] 467
[6] 1097
[7] 790
[8] 122
[9] 713
[10] 447
[11] 974
[12] 622
[13] 222
[14] 830
[15] 586
[16] 805
[17] 923
[18] 332
[19] 563
[20] 654
[21] 689
[22] 775
[23] 425
[24] 1070
[25] 1100
[26] 507
[27] 876
[28] 376
[29] 223
[30] 431
[31] 456
;

param cost := 
[0] 361
[1] 1
[2] 119
[3] 896
[4] 187
[5] 367
[6] 997
[7] 690
[8] 22
[9] 613
[10] 347
[11] 874
[12] 522
[13] 122
[14] 730
[15] 486
[16] 705
[17] 823
[18] 232
[19] 463
[20] 554
[21] 589
[22] 675
[23] 325
[24] 970
[25] 1000
[26] 407
[27] 776
[28] 276
[29] 123
[30] 331
[31] 356
;
